                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.92009,                0.42604,                0.99228,                 0.8945,                0.83194,                0.89468,                0.51267,                 1.4129,                0.61608,                 1.2612,               0.004522,               0.004522,               0.004522
                     86,                0.91725,                0.42436,                0.99294,                0.89115,                0.83298,                0.89079,                0.51141,                 1.4098,                0.62137,                 1.2586,               0.004456,               0.004456,               0.004456
                     87,                0.89802,                0.41778,                0.98366,                0.90091,                0.81847,                0.89228,                0.51087,                  1.414,                0.62353,                 1.2586,                0.00439,                0.00439,                0.00439
                     88,                0.90304,                0.41523,                 0.9824,                0.90531,                0.81954,                0.89263,                0.51531,                 1.4091,                0.61877,                 1.2569,               0.004324,               0.004324,               0.004324
                     89,                0.90777,                 0.4208,                0.98716,                0.90698,                 0.8157,                0.89005,                0.50905,                 1.4094,                0.61554,                 1.2508,               0.004258,               0.004258,               0.004258
                     90,                0.89814,                0.41176,                0.97967,                0.90193,                0.82783,                0.89157,                0.51278,                 1.4024,                0.61825,                  1.262,               0.004192,               0.004192,               0.004192
                     91,                0.90007,                0.41434,                0.98519,                0.91041,                 0.8157,                0.89256,                0.51219,                  1.411,                0.61793,                 1.2653,               0.004126,               0.004126,               0.004126
                     92,                0.88817,                0.40805,                0.98021,                0.90106,                0.82562,                0.89113,                0.51404,                 1.3931,                0.61303,                 1.2552,                0.00406,                0.00406,                0.00406
                     93,                0.89023,                0.40987,                 0.9811,                0.89528,                0.81933,                0.88676,                0.50944,                 1.4058,                0.61351,                 1.2577,               0.003994,               0.003994,               0.003994
                     94,                0.88531,                0.40786,                0.97771,                0.89402,                0.82414,                0.88702,                0.50745,                 1.4063,                0.62689,                 1.2651,               0.003928,               0.003928,               0.003928
                     95,                0.87343,                0.40255,                0.97316,                0.90326,                0.81591,                0.88562,                0.50412,                 1.4142,                0.62749,                  1.269,               0.003862,               0.003862,               0.003862
                     96,                 0.8675,                0.40077,                0.97146,                0.89467,                0.81898,                0.88662,                0.50514,                 1.4198,                0.61923,                 1.2758,               0.003796,               0.003796,               0.003796
                     97,                0.87494,                0.40361,                0.97145,                0.90796,                0.81229,                0.89106,                0.50755,                 1.4212,                0.61634,                 1.2743,                0.00373,                0.00373,                0.00373
                     98,                0.86743,                0.39858,                0.96908,                0.89802,                0.81713,                0.88878,                0.50569,                 1.4242,                0.61758,                 1.2795,               0.003664,               0.003664,               0.003664
                     99,                0.86389,                0.39743,                0.97034,                0.90687,                0.80594,                 0.8873,                0.50639,                 1.4172,                0.62492,                 1.2813,               0.003598,               0.003598,               0.003598
                    100,                0.86722,                0.40009,                0.96869,                0.89748,                0.81399,                0.88621,                0.50629,                 1.4113,                0.62535,                 1.2803,               0.003532,               0.003532,               0.003532
                    101,                0.85624,                0.39046,                0.96682,                0.90552,                0.81366,                0.89109,                0.50925,                 1.4172,                0.62888,                 1.2838,               0.003466,               0.003466,               0.003466
                    102,                0.85938,                0.39665,                0.96398,                0.90892,                0.81335,                0.89141,                0.50883,                 1.4231,                0.63236,                 1.2863,                 0.0034,                 0.0034,                 0.0034
